Date,Service Description,Taxable Value,Estimated Tax (30%)
2025-01-03,Sold Cement - 10 Bags,35000,10500.00
2025-01-05,Sold Paint - 6 Cans,12000,3600.00
2025-01-06,Restocking Nails and Screws,8000,0
2025-01-07,Sold Roofing Sheets,45000,13500.00
2025-01-09,Sold Wheelbarrow,15000,4500.00
2025-01-10,Transport for Stock Delivery,5000,0
2025-01-12,Sold Plumbing Pipes,18000,5400.00
2025-01-15,Sold Tiles - 8 Boxes,32000,9600.00
2025-01-16,Restocking Cement,48000,0
2025-01-17,Sold Steel Bars,40000,12000.00
