Date,Service Description,Taxable Value,Estimated Tax (30%)
2025-02-01,Logo Design for Client A,25000,7500.00
2025-02-02,Monthly Internet Subscription,5500,0
2025-02-04,Brand Identity Package for Client B,85000,25500.00
2025-02-05,Adobe Creative Cloud Subscription,3500,0
2025-02-07,Website Design Project,120000,36000.00
2025-02-08,Uber to Client Meeting,1600,0
2025-02-10,Consultation Session - Corporate Client,60000,18000.00
2025-02-11,Lunch During Meeting,900,0
2025-02-14,Social Media Design Package,45000,13500.00
2025-02-15,Transport to Photoshoot Location,2000,0
